景区名称,评论日期,评论详情
A01,2019-02-15,取票方便，在售票大厅有自助取票机，凭身份证就可以取，票48小时有效。如果开车入景区，每天收15元，在景区大门，有景区的免费中巴可以乘坐，十多分钟一班，很方便。景区内主要分两大景区:一个是长老峰景区，另一个是阳元山景区。每个景区入去都要查票。前一个景区比较大，可以玩一整天，后一个景区小点，半天足矣。至于吃饭，真的是奇怪，阳元山景区门口的饭店比景区大门口的饭店便宜很多！
A01,2019-05-20,A01山是我国联合申请世界自然遗产排在第一位的景点，也是丹霞地貌的命名地。我个人坚持认为A01山是超越我国其他丹霞景点的。不过管理实在太差！首先标志不多不清，许多三岔路口没有标志标牌，即使有，也标的不清不楚，不知道距离，不知道爬升高度，不知道那个点是什么景色。让第一次去的我走了很多冤枉路。其次，水上丹霞的景色很美，但是船太破太破，没有夹板平台，不让人照相，倒是景区竟然派了一个专职照相，目的就是还要收你钱的，特别可恶的是还强行推销所谓船长的纪念品，价格是岸上摊位的4倍。这个情况在5A级景区已经很少见了。第三，公交设置很不合理，站点离开元阳石景区很远，目的就是让你们经过那一长段饭店摊位去消费。游客已经爬了一个景区很累了，你们就不能照顾一下，直接送到下个景区附近？第四，这么多的景点，没有旅游地图，只有沿途有部分导览图，而且不标距离爬高和大致时间，你只能自己去摸索，乱逛，走冤枉路，悲催！这么好的景区，名气那么差，甚至连张掖的丹霞都不如，更不如龙虎山，就是管理的问题。
A01,2020-11-30,景点非常好。交通非常方便。
A01,2019-05-30,A01山，位于广东**市仁化县内，广东省著名景点之一。在A01山景区内，有一重要景点:陀石。它实际是一个三面陡壁的巨大石块平台。站在陀石上四面远眺，丹霞风光尽收眼底，顿时有了“一览众山小”的气慨，令人陶醉不已。
A01,2018-10-04,个人觉得不划算，主要是水上丹霞不划算，来回不到一个小时，就要100元，没看到什么特别的景色，感觉很不值，水上之外的觉得都很好，铁道丹锁和细美寨、九九天梯很惊险刺激，值得一爬，两天的时间，不太够用，很多地方都没去，有机会可以再去玩。网上的价格和实体店是一样的，唯一的好处大概就是不用排队吧
A01,2020-10-06,取票方便、便宜、靠谱、服务好。
A01,2019-05-30,偶尔累，大部分还是比较轻松的，徒步穿越的行程，景色优美，空气清新，运动和放松一起了，在最高峰一览群山的感觉，真的不一样，每个山峰和山群，都特立独行的，展示自己的特色，群象过江的气势，童子敬茶的虔诚，茶壶峰，栩栩如生。世界真奇妙。
A01,2019-03-31,A01山主要分为长老峰-翔龙湖游览区和阳元石游览区，此外还有单独售票的锦江画廊和巴寨景区。A01山长老峰景区分上、中、下三个景观层。下层为锦石岩景层，有始建于北宋的锦石岩石窟寺、梦觉关、通天洞、百丈峡及最典型的赤壁丹崖等景点。中层为别传寺景层，有岭南十大禅林之一的别传寺，还有一线天、双池碧荷等景点。上层则可一览丹霞群峰全貌。
A01,2018-03-31,蛮好用的，下个APP，缓存到本地，到每个景点都有介绍，玩儿的也更明白一些。不过不能定位，不能根据定位自动播报，APP上有这项功能，但是是废的，需要自己手动点着播放。最好用蓝牙耳机，线的不方便，爬上很陡峭。韶关高铁站出来，就有公交大巴，去A01山门口21元，全程大概80分钟，景区门口有个客运站，07:15首班车回韶关高铁站，半个小时一班车。
A01,2019-05-02,#A01山#         这个五一和男朋友一起去了A01山，总体感觉这个地方还是很值得一去的，比桂林山水性价比高很多(我比较喜欢性价比高的[大笑])       行程4月30号晚上的火车，从广州到韶关，第二天一早到韶关东，等最早一班班车去A01山。在A01山外面的客栈住了一晚。总行程两天一夜。A01山外面有很多客栈，是政府统一规划，当地居民经营的。我们住的是音乐之旅，主要是因为它这个随时可退，里面也挺干净的，性价比挺高[大笑]        因为是早上到的，可以先去客栈休息一下，中午去美团上排名第一的一家饭店吃的午饭，性价比还可以，就是节假日不能用美团，不然性价比更高[可爱]      正好A01山感觉用一整天可以玩完，但是会很累，如果打算住一晚的话，最好和我们一样，第一天下午去长老峰景区。        长老峰和翔龙湖景区是一起玩的。从景点入口处坐免费大巴到换乘处换乘去长老峰的车。建议先去长老峰再通过阳元石，然后坐船游翔龙湖，这样顺路。       第二天玩阳元石景区，九九天梯一定要去。最高处有最美的风景，所以一定不要半途而废。长老峰峰顶和这里都可以一览众山小，将美景尽收眼底。
